求人一括入稿用のコード一覧

求人一括作成機能利用時のコード一覧です。
求人一括作成機能については、複数の求人を一括入稿したいを参照ください。

目次

1. コード一覧の見かた
2. コード値一覧（職種以外）
3. コード値一覧（職種）
4. 求人の特徴ID一覧
1. コード一覧の見かた
❶項目	❷入力形式
ae754	企画/マーケティング/カスタマーサクセス/サポート	マスマーケティング	マスマーケティング
48cf1	企画/マーケティング/カスタマーサクセス/サポート	Web/デジタルマーケティング	広告運用
a48d5	企画/マーケティング/カスタマーサクセス/サポート	Web/デジタルマーケティング	CRM/MA
e6872	企画/マーケティング/カスタマーサクセス/サポート	Web/デジタルマーケティング	その他
39429	企画/マーケティング/カスタマーサクセス/サポート	Web/ECサイト運営	Webサイト運営
31629	企画/マーケティング/カスタマーサクセス/サポート	Web/ECサイト運営	ECサイト運営
f137d	企画/マーケティング/カスタマーサクセス/サポート	Web/ECサイト運営	その他
38653	企画/マーケティング/カスタマーサクセス/サポート	テクニカルマーケティング	テクニカルマーケティング
e813d	企画/マーケティング/カスタマーサクセス/サポート	ブランディング	コーポレートブランディング
149cc	企画/マーケティング/カスタマーサクセス/サポート	ブランディング	プロダクトブランディング
beb7f	企画/マーケティング/カスタマーサクセス/サポート	ブランディング	その他
8acd3	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサクセス	カスタマーサクセスマネージャー
eb19a	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサクセス	リニューアルマネジメント
c3ee8	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサクセス	その他
5bde1	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサポート/コールセンター	アウトバウンドコールスタッフ
68be2	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサポート/コールセンター	インバウンドコールスタッフ
1a90d	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサポート/コールセンター	チャット対応スタッフ
0fd64	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサポート/コールセンター	管理/運営
f0637	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサポート/コールセンター	FAQ管理
25626	企画/マーケティング/カスタマーサクセス/サポート	カスタマーサポート/コールセンター	その他
5f7f1	企画/マーケティング/カスタマーサクセス/サポート	その他	その他
492ba	コーポレートスタッフ	経理/税務/財務	管理会計
1fffe	コーポレートスタッフ	経理/税務/財務	財務会計
a4683	コーポレートスタッフ	経理/税務/財務	税務
bd4d4	コーポレートスタッフ	経理/税務/財務	財務/ファイナンス
3a8d1	コーポレートスタッフ	人事	人事企画/制度設計
31fb4	コーポレートスタッフ	人事	採用
cb6ae	コーポレートスタッフ	人事	社員教育/研修
53ac2	コーポレートスタッフ	人事	人事評価
dbcd3	コーポレートスタッフ	人事	組織開発/リテンション
45e34	コーポレートスタッフ	人事	従業員満足度/ES
e0642	コーポレートスタッフ	人事	福利厚生/労務/給与管理
61e12	コーポレートスタッフ	人事	その他
d423c	コーポレートスタッフ	総務	総務
b82bb	コーポレートスタッフ	法務/知財	法務
f5606	コーポレートスタッフ	法務/知財	知的財産
4a30e	コーポレートスタッフ	法務/知財	特許
8cb90	コーポレートスタッフ	法務/知財	コンプライアンス
32f0d	コーポレートスタッフ	法務/知財	その他
2b9b0	コーポレートスタッフ	情報システム	情報システム
9fded	コーポレートスタッフ	情報システム	情報セキュリティ
e165a	コーポレートスタッフ	情報システム	金融システム
3627e	コーポレートスタッフ	情報システム	その他
cb0b0	コーポレートスタッフ	広報/IR	広報/PR
0d752	コーポレートスタッフ	広報/IR	CSR
3cfde	コーポレートスタッフ	広報/IR	IR
1305f	コーポレートスタッフ	広報/IR	社内広報
9adc1	コーポレートスタッフ	広報/IR	その他
d5812	コーポレートスタッフ	内部監査/内部統制	内部監査
2d1e2	コーポレートスタッフ	内部監査/内部統制	内部統制
5e1b9	コーポレートスタッフ	リスク管理	リスク管理
99977	コーポレートスタッフ	渉外	渉外
30b21	コーポレートスタッフ	その他	その他
75146	SCM/生産管理/購買/物流	生産企画	需要予測
e085a	SCM/生産管理/購買/物流	生産企画	生産計画策定
e7323	SCM/生産管理/購買/物流	生産企画	生産管理
75f90	SCM/生産管理/購買/物流	生産企画	その他
d2bcf	SCM/生産管理/購買/物流	購買/調達	購買企画
46289	SCM/生産管理/購買/物流	購買/調達	原材料購買
2fef6	SCM/生産管理/購買/物流	購買/調達	部品購買
98c97	SCM/生産管理/購買/物流	購買/調達	サービス/間接材購買
d9477	SCM/生産管理/購買/物流	購買/調達	設備購買
98b73	SCM/生産管理/購買/物流	購買/調達	土地/建屋購買
8947e	SCM/生産管理/購買/物流	購買/調達	新規サプライヤー開拓
bbd8f	SCM/生産管理/購買/物流	購買/調達	その他
f4788	SCM/生産管理/購買/物流	物流	物流企画/管理
16422	SCM/生産管理/購買/物流	物流	倉庫管理
403cb	SCM/生産管理/購買/物流	物流	輸配送
394e6	SCM/生産管理/購買/物流	物流	その他
7c60d	SCM/生産管理/購買/物流	貿易	貿易
34b6b	SCM/生産管理/購買/物流	その他	その他
4e64b	事務/受付/秘書/翻訳	事務	一般事務
41b68	事務/受付/秘書/翻訳	事務	営業事務
5a276	事務/受付/秘書/翻訳	事務	購買/物流事務
85c7f	事務/受付/秘書/翻訳	事務	貿易事務/国際事務/英文事務
1d7c0	事務/受付/秘書/翻訳	事務	人事事務
6b745	事務/受付/秘書/翻訳	事務	総務事務
757e1	事務/受付/秘書/翻訳	事務	経理/財務事務
a3130	事務/受付/秘書/翻訳	事務	法務事務
27c27	事務/受付/秘書/翻訳	事務	特許事務
75623	事務/受付/秘書/翻訳	事務	工場現場事務
59a15	事務/受付/秘書/翻訳	事務	その他
a271f	事務/受付/秘書/翻訳	受付	受付
776f1	事務/受付/秘書/翻訳	秘書	秘書
ea1d8	事務/受付/秘書/翻訳	通訳	通訳
0ec19	事務/受付/秘書/翻訳	翻訳	翻訳
ae322	小売販売/流通	販売/フロアスタッフ	コンビニ
5fe82	小売販売/流通	販売/フロアスタッフ	家電
e67ec	小売販売/流通	販売/フロアスタッフ	携帯ショップ
967f7	小売販売/流通	販売/フロアスタッフ	薬局/ドラッグストア
34958	小売販売/流通	販売/フロアスタッフ	化粧品
3ccf4	小売販売/流通	販売/フロアスタッフ	スーパー/ホームセンター
d8b51	小売販売/流通	販売/フロアスタッフ	アパレル/アクセサリー/インテリア
28ac8	小売販売/流通	販売/フロアスタッフ	その他
538a7	小売販売/流通	店長/支配人	コンビニ
82af5	小売販売/流通	店長/支配人	家電
55372	小売販売/流通	店長/支配人	携帯ショップ
19bdc	小売販売/流通	店長/支配人	薬局/ドラッグストア
80b5c	小売販売/流通	店長/支配人	化粧品
ae8b2	小売販売/流通	店長/支配人	スーパー/ホームセンター
ae014	小売販売/流通	店長/支配人	アパレル/アクセサリー/インテリア
a37aa	小売販売/流通	店長/支配人	その他
17f24	小売販売/流通	エリアマネージャー	コンビニ
572d9	小売販売/流通	エリアマネージャー	家電
60811	小売販売/流通	エリアマネージャー	携帯ショップ
d5e31	小売販売/流通	エリアマネージャー	薬局/ドラッグストア
dba11	小売販売/流通	エリアマネージャー	化粧品
8e269	小売販売/流通	エリアマネージャー	スーパー/ホームセンター
dee12	小売販売/流通	エリアマネージャー	アパレル/アクセサリー/インテリア
3af34	小売販売/流通	エリアマネージャー	その他
a0947	小売販売/流通	仕入/流通	MD
d0ccc	小売販売/流通	仕入/流通	仕入/バイヤー
be1f3	小売販売/流通	仕入/流通	買取査定
63496	小売販売/流通	仕入/流通	その他
32ef2	小売販売/流通	店舗/FC開発	店舗開発
347dd	小売販売/流通	店舗/FC開発	FC加盟店開発
22306	小売販売/流通	店舗/FC開発	FC開発企画/支援
f7dab	小売販売/流通	店舗/FC開発	その他
cfd51	小売販売/流通	店舗管理/運営/支援	スーパーバイザー/ラウンダー
bc12b	小売販売/流通	店舗管理/運営/支援	店舗/ディスプレーデザイナー/VMD
50ab5	小売販売/流通	店舗管理/運営/支援	スタッフトレーナー
c6d63	小売販売/流通	店舗管理/運営/支援	万引き防止スタッフ
9bea5	小売販売/流通	店舗管理/運営/支援	その他
bc3b1	小売販売/流通	その他	その他
dcacb	サービス/接客	警備	警備スタッフ/守衛
44f3e	サービス/接客	警備	警備輸送
2232d	サービス/接客	警備	警備管理/運営
c9fdb	サービス/接客	警備	その他
b1855	サービス/接客	清掃/家事代行	清掃スタッフ
15648	サービス/接客	清掃/家事代行	ハウスクリーニングスタッフ
f98c7	サービス/接客	清掃/家事代行	家事代行スタッフ/家政婦
3047f	サービス/接客	清掃/家事代行	ベビーシッター
b99b2	サービス/接客	清掃/家事代行	清掃管理/運営
cdc61	サービス/接客	清掃/家事代行	家事代行管理/運営
287ed	サービス/接客	清掃/家事代行	その他
b8363	サービス/接客	アミューズメント	販売/フロアスタッフ
a6d82	サービス/接客	アミューズメント	店長/支配人
72e52	サービス/接客	アミューズメント	エリアマネージャー
3bbb4	サービス/接客	アミューズメント	その他
f05c5	サービス/接客	イベント	イベント企画
e1b77	サービス/接客	イベント	イベント運営スタッフ
55563	サービス/接客	イベント	イベント管理
5f445	サービス/接客	イベント	その他
40ff3	サービス/接客	旅行	添乗員/ガイド/ツアコン
ca7bf	サービス/接客	旅行	旅行手配員
e57a1	サービス/接客	旅行	旅行カウンターセールス
fb03c	サービス/接客	旅行	ビザ取得支援/代行
eaa87	サービス/接客	旅行	その他
add9b	サービス/接客	宿泊/ホテル	ドアスタッフ
17252	サービス/接客	宿泊/ホテル	ベル係
c2dc1	サービス/接客	宿泊/ホテル	フロント
6a457	サービス/接客	宿泊/ホテル	コンシェルジュ
415ce	サービス/接客	宿泊/ホテル	ハウスキーピング
cac84	サービス/接客	宿泊/ホテル	ルームアテンダント
f2dff	サービス/接客	宿泊/ホテル	ウェイター
25cf2	サービス/接客	宿泊/ホテル	宴会スタッフ
2add6	サービス/接客	宿泊/ホテル	クローク
5b8e3	サービス/接客	宿泊/ホテル	責任者
86c2c	サービス/接客	宿泊/ホテル	その他
d0f79	サービス/接客	美容/リラクゼーション	理容師
345cb	サービス/接客	美容/リラクゼーション	美容師
05a3d	サービス/接客	美容/リラクゼーション	エステティシャン/マッサージ師
5dfaf	サービス/接客	美容/リラクゼーション	整体師/柔道整復師
72ff5	サービス/接客	美容/リラクゼーション	アロマセラピスト
e8e4a	サービス/接客	美容/リラクゼーション	ネイリスト
c65bc	サービス/接客	美容/リラクゼーション	アイリスト/アイデザイナー/まつエク
83af8	サービス/接客	美容/リラクゼーション	フットケア
67f48	サービス/接客	美容/リラクゼーション	美容コンサルタント
a7780	サービス/接客	美容/リラクゼーション	その他
d503a	サービス/接客	冠婚葬祭	ウエディングプランナー
19bf3	サービス/接客	冠婚葬祭	ドレスコーディネーター
52ed0	サービス/接客	冠婚葬祭	ブライダルスタッフ
d36c8	サービス/接客	冠婚葬祭	結婚相談所スタッフ
4d3da	サービス/接客	冠婚葬祭	葬祭ディレクター/プランナー
d4a85	サービス/接客	冠婚葬祭	葬祭スタッフ
18b90	サービス/接客	冠婚葬祭	その他
2083b	サービス/接客	マンション管理/コンシェルジュ/寮管理	マンション/ビル管理人
d5388	サービス/接客	マンション管理/コンシェルジュ/寮管理	コンシェルジュ
5c557	サービス/接客	マンション管理/コンシェルジュ/寮管理	寮管理人
6ebfb	サービス/接客	フィットネス	トレーナー/インストラクター
a7f63	サービス/接客	フィットネス	フロアスタッフ
d3606	サービス/接客	フィットネス	施設管理者
a613c	サービス/接客	フィットネス	その他
28de2	サービス/接客	ガソリンスタンド	スタッフ
99a8e	サービス/接客	ガソリンスタンド	店長
3b546	サービス/接客	ガソリンスタンド	エリアマネージャー
4b3aa	サービス/接客	トリマー/飼育員/ブリーダー	トリマー
f58bf	サービス/接客	トリマー/飼育員/ブリーダー	飼育員
bcab5	サービス/接客	トリマー/飼育員/ブリーダー	ブリーダー
8507b	サービス/接客	デリバリー	デリバリー
bd9cc	サービス/接客	新聞配達/集金	新聞配達/集金
89eaa	サービス/接客	その他サービス業	接客/フロアスタッフ
fcd0e	サービス/接客	その他サービス業	店長/支配人
17390	サービス/接客	その他サービス業	エリアマネージャー
eaa8c	サービス/接客	その他サービス業	その他
705f8	飲食	ホール/フロアスタッフ	ホール/フロアスタッフ
8d473	飲食	調理スタッフ	調理スタッフ
47028	飲食	店長/支配人	店長/支配人
985d6	飲食	エリアマネージャー	エリアマネージャー
6b4c4	飲食	シェフ/料理人	和食
6a577	飲食	シェフ/料理人	イタリアン
156ae	飲食	シェフ/料理人	フレンチ
6f2da	飲食	シェフ/料理人	中華
bdb19	飲食	シェフ/料理人	エスニック料理
fa2e7	飲食	シェフ/料理人	創作料理
f2a73	飲食	シェフ/料理人	その他
b3e56	飲食	パティシエ/菓子職人	パティシエ/菓子職人
fa259	飲食	ソムリエ/バーテンダー	ソムリエ/バーテンダー
d9b5c	飲食	バリスタ	バリスタ
553a7	飲食	パン職人	パン職人
32453	飲食	調理師	調理師
17ee6	飲食	その他	その他
50b04	コンサル/士業/リサーチャー	ビジネスコンサルタント	戦略/経営コンサルタント
79b17	コンサル/士業/リサーチャー	ビジネスコンサルタント	営業コンサルタント
052ce	コンサル/士業/リサーチャー	ビジネスコンサルタント	マーケティングコンサルタント
195a8	コンサル/士業/リサーチャー	ビジネスコンサルタント	SEO/SEMコンサルタント
14a14	コンサル/士業/リサーチャー	ビジネスコンサルタント	メディア/PRコンサルタント
49b0e	コンサル/士業/リサーチャー	ビジネスコンサルタント	BPRコンサルタント
49e34	コンサル/士業/リサーチャー	ビジネスコンサルタント	M&Aアドバイザリー
33a77	コンサル/士業/リサーチャー	ビジネスコンサルタント	IPOアドバイザリー
63c73	コンサル/士業/リサーチャー	ビジネスコンサルタント	財務/会計/税務コンサルタント
43c6b	コンサル/士業/リサーチャー	ビジネスコンサルタント	法務コンサルタント
af00f	コンサル/士業/リサーチャー	ビジネスコンサルタント	知財/特許/商標コンサルタント
86bb8	コンサル/士業/リサーチャー	ビジネスコンサルタント	その他
579cb	コンサル/士業/リサーチャー	IT/システムコンサルタント	システムコンサルタント
f576c	コンサル/士業/リサーチャー	IT/システムコンサルタント	SAP/ERP導入コンサルタント
ce46d	コンサル/士業/リサーチャー	IT/システムコンサルタント	パッケージ導入コンサルタント
549e3	コンサル/士業/リサーチャー	IT/システムコンサルタント	セキュリティコンサルタント
d903b	コンサル/士業/リサーチャー	IT/システムコンサルタント	ネットワークコンサルタント
6e7c2	コンサル/士業/リサーチャー	IT/システムコンサルタント	組込/制御開発コンサルタント
fea0f	コンサル/士業/リサーチャー	IT/システムコンサルタント	その他
defe3	コンサル/士業/リサーチャー	人事コンサルタント/コーチング	組織系コンサルタント
86771	コンサル/士業/リサーチャー	人事コンサルタント/コーチング	労務系コンサルタント
10b9c	コンサル/士業/リサーチャー	人事コンサルタント/コーチング	企業研修/コーチング
349b7	コンサル/士業/リサーチャー	人事コンサルタント/コーチング	その他
08fb7	コンサル/士業/リサーチャー	生産/物流/品質管理コンサルタント	生産/物流コンサルタント
a5af4	コンサル/士業/リサーチャー	生産/物流/品質管理コンサルタント	品質管理コンサルタント
97b6f	コンサル/士業/リサーチャー	生産/物流/品質管理コンサルタント	その他
1cea9	コンサル/士業/リサーチャー	建設/不動産コンサルタント	建設コンサルタント
5b1ca	コンサル/士業/リサーチャー	ISOコンサルタント/ISO審査員	ISOコンサルタント/ISO審査員
62113	コンサル/士業/リサーチャー	国際開発/開発援助コンサルタント	国際開発/開発援助コンサルタント
7935a	コンサル/士業/リサーチャー	監査人/監査補助	会計監査
38b0d	コンサル/士業/リサーチャー	監査人/監査補助	会計監査トレーニー
3d8e4	コンサル/士業/リサーチャー	監査人/監査補助	会計監査アシスタント
18ca4	コンサル/士業/リサーチャー	監査人/監査補助	システム監査
4100a	コンサル/士業/リサーチャー	監査人/監査補助	監査アシスタント
8b0cd	コンサル/士業/リサーチャー	監査人/監査補助	その他
ad7d0	コンサル/士業/リサーチャー	会計士	会計士
c9241	コンサル/士業/リサーチャー	税理士	税理士
12ba8	コンサル/士業/リサーチャー	弁護士	弁護士
70156	コンサル/士業/リサーチャー	パラリーガル	パラリーガル
f4ff6	コンサル/士業/リサーチャー	弁理士/特許技術者	弁理士/特許技術者
4ba3d	コンサル/士業/リサーチャー	司法書士	司法書士
c9c1b	コンサル/士業/リサーチャー	土地家屋調査士	土地家屋調査士
60d9b	コンサル/士業/リサーチャー	行政書士	行政書士
23d13	コンサル/士業/リサーチャー	行政書士	行政書士補助
bc29e	コンサル/士業/リサーチャー	社会保険労務士	社会保険労務士
32914	コンサル/士業/リサーチャー	社会保険労務士	社会保険労務士補助
be5ff	コンサル/士業/リサーチャー	通関士	通関士
216a5	コンサル/士業/リサーチャー	中小企業診断士	中小企業診断士
b90a6	コンサル/士業/リサーチャー	リサーチ/分析	市場調査
c1b1b	コンサル/士業/リサーチャー	リサーチ/分析	マーケティングリサーチャー
67c5e	コンサル/士業/リサーチャー	リサーチ/分析	エコノミスト
22270	コンサル/士業/リサーチャー	リサーチ/分析	ストラテジスト
84148	コンサル/士業/リサーチャー	リサーチ/分析	アナリスト
bc13c	コンサル/士業/リサーチャー	リサーチ/分析	データサイエンティスト
cf84d	コンサル/士業/リサーチャー	リサーチ/分析	データマイニング
8f485	コンサル/士業/リサーチャー	リサーチ/分析	環境調査/環境分析
48c2c	コンサル/士業/リサーチャー	リサーチ/分析	リサーチパネル管理/運用
538de	コンサル/士業/リサーチャー	リサーチ/分析	その他
945c1	コンサル/士業/リサーチャー	特定業界	特定業界
758d8	コンサル/士業/リサーチャー	トピックエキスパート	特定商材/ソリューション領域
ac322	コンサル/士業/リサーチャー	トピックエキスパート	特定機能部門
64091	コンサル/士業/リサーチャー	トピックエキスパート	その他
c686b	コンサル/士業/リサーチャー	その他	その他
69462	IT	システムエンジニア	汎用機SE
e6f7f	IT	システムエンジニア	web/オープンSE
eedbc	IT	システムエンジニア	組み込み制御SE
ee3aa	IT	プログラマー	汎用機プログラマー
4826f	IT	プログラマー	web/オープンプログラマー
efaee	IT	プログラマー	組み込み制御プログラマー
67638	IT	プロジェクト管理	汎用機プロジェクトマネージャー
b1838	IT	プロジェクト管理	web/オープンプロジェクトマネージャー
a3f43	IT	プロジェクト管理	組み込み制御プロジェクトマネージャー
23cbd	IT	プロジェクト管理	汎用機プロジェクトリーダー
2d2dc	IT	プロジェクト管理	web/オープンプロジェクトリーダー
023a7	IT	プロジェクト管理	組み込み制御プロジェクトリーダー
d3bd6	IT	プロジェクト管理	ディレクター
731b7	IT	プロジェクト管理	PMO
491f2	IT	プロダクトマネージャー	プロダクトマネージャー
03350	IT	フロントエンドエンジニア	フロントエンドエンジニア
ada93	IT	サーバーサイドエンジニア	サーバーサイドエンジニア
20034	IT	データベースエンジニア	データベースエンジニア
10dcd	IT	ネットワークエンジニア	ネットワークエンジニア
70aa2	IT	セキュリティエンジニア	セキュリティエンジニア
c9655	IT	データエンジニア	データエンジニア
86bd7	IT	DevOpsエンジニア	DevOpsエンジニア
352f4	IT	アーキテクト	アーキテクト
7b390	IT	SRE（Site Reliability Engineer）	SRE（Site Reliability Engineer）
6f693	IT	QA/テストエンジニア	QA/テストエンジニア
a7d62	IT	保守/運用/サポートエンジニア	保守/運用/サポートエンジニア
fc53f	IT	パッケージ開発	パッケージ開発
93924	IT	社内システムエンジニア	社内システムエンジニア
4e6a1	IT	セールスエンジニア/プリセールス	セールスエンジニア/プリセールス
0d809	IT	データサイエンティスト/データアナリスト	データサイエンティスト
bf0fc	IT	データサイエンティスト/データアナリスト	データアナリスト
50d61	IT	データサイエンティスト/データアナリスト	領域特化データサイエンティスト（音声）
0654e	IT	データサイエンティスト/データアナリスト	領域特化データサイエンティスト（Computer Vision）
0f827	IT	データサイエンティスト/データアナリスト	領域特化データサイエンティスト（自然言語処理）
bdce6	IT	データサイエンティスト/データアナリスト	領域特化データサイエンティスト（不正検出/安全性分析）
882c5	IT	データサイエンティスト/データアナリスト	領域特化データサイエンティスト（検索エンジン）
683ac	IT	データサイエンティスト/データアナリスト	領域特化データサイエンティスト(推薦エンジン）
6d69a	IT	データサイエンティスト/データアナリスト	領域特化データサイエンティスト（強化学習）
dff25	IT	データサイエンティスト/データアナリスト	その他
66d84	IT	研究開発	研究開発
8ee56	IT	エンジニアリングマネージャー/VP	エンジニアリングマネージャー/VP
2fa7b	IT	その他	その他
6f2e0	クリエイティブ/デザイン職	Webサービス/制作	プロデューサー
56eae	クリエイティブ/デザイン職	Webサービス/制作	プランナー
ed300	クリエイティブ/デザイン職	Webサービス/制作	ディレクター
cec89	クリエイティブ/デザイン職	Webサービス/制作	制作進行管理
74a25	クリエイティブ/デザイン職	Webサービス/制作	アートディレクター
8ee6f	クリエイティブ/デザイン職	Webサービス/制作	Webデザイナー
1fc1c	クリエイティブ/デザイン職	Webサービス/制作	UI/UXデザイナー
a6d5f	クリエイティブ/デザイン職	Webサービス/制作	UI/UXリサーチャー
2c2fd	クリエイティブ/デザイン職	Webサービス/制作	その他
a4dbf	クリエイティブ/デザイン職	広告/グラフィック	広告プロデューサー
47713	クリエイティブ/デザイン職	広告/グラフィック	広告プランナー
01cf0	クリエイティブ/デザイン職	広告/グラフィック	広告ディレクター
3c54b	クリエイティブ/デザイン職	広告/グラフィック	広告制作進行管理
3c07c	クリエイティブ/デザイン職	広告/グラフィック	クリエイティブディレクター
0602e	クリエイティブ/デザイン職	広告/グラフィック	アートディレクター
5b8dc	クリエイティブ/デザイン職	広告/グラフィック	グラフィックデザイナー
6ef73	クリエイティブ/デザイン職	広告/グラフィック	イラストレーター
04ac0	クリエイティブ/デザイン職	広告/グラフィック	CGアニメーター
3bb9c	クリエイティブ/デザイン職	広告/グラフィック	サウンドクリエーター
c2920	クリエイティブ/デザイン職	広告/グラフィック	コピーライター
5ea03	クリエイティブ/デザイン職	広告/グラフィック	その他
38603	クリエイティブ/デザイン職	ゲーム	ゲームプロデューサー
54011	クリエイティブ/デザイン職	ゲーム	ゲームプランナー
72fac	クリエイティブ/デザイン職	ゲーム	ゲームディレクター
14725	クリエイティブ/デザイン職	ゲーム	ゲーム制作進行管理
3d824	クリエイティブ/デザイン職	ゲーム	シナリオライター
8af7b	クリエイティブ/デザイン職	ゲーム	ゲームアートディレクター
ec42f	クリエイティブ/デザイン職	ゲーム	ゲームグラフィックデザイナー
859bc	クリエイティブ/デザイン職	ゲーム	ゲームイラストレーター
7090d	クリエイティブ/デザイン職	ゲーム	ゲームUIデザイナー
9befb	クリエイティブ/デザイン職	ゲーム	背景デザイナー
8115a	クリエイティブ/デザイン職	ゲーム	キャラクターデザイナー
e6e31	クリエイティブ/デザイン職	ゲーム	エフェクトデザイナー
bdee1	クリエイティブ/デザイン職	ゲーム	CGデザイナー
73ef3	クリエイティブ/デザイン職	ゲーム	モーションデザイナー
bf2c7	クリエイティブ/デザイン職	ゲーム	ゲームサウンドクリエーター
e84df	クリエイティブ/デザイン職	ゲーム	ゲームプログラマー
9d233	クリエイティブ/デザイン職	ゲーム	デバッガー
a3955	クリエイティブ/デザイン職	ゲーム	その他
14e12	クリエイティブ/デザイン職	アパレル/ファッション	ファッションデザイナー
d8c72	クリエイティブ/デザイン職	アパレル/ファッション	テキスタイルデザイナー
86b3b	クリエイティブ/デザイン職	アパレル/ファッション	服飾雑貨デザイナー
e194e	クリエイティブ/デザイン職	アパレル/ファッション	アクセサリー/ジュエリーデザイナー
1f99f	クリエイティブ/デザイン職	アパレル/ファッション	パタンナー
2dd42	クリエイティブ/デザイン職	アパレル/ファッション	縫製/ソーインングスタッフ
00973	クリエイティブ/デザイン職	アパレル/ファッション	リフォーマー
aa9d8	クリエイティブ/デザイン職	アパレル/ファッション	テーラー
90f35	クリエイティブ/デザイン職	アパレル/ファッション	スタイリスト
aa95c	クリエイティブ/デザイン職	アパレル/ファッション	カラーコーディネーター
397c3	クリエイティブ/デザイン職	アパレル/ファッション	その他
9c710	クリエイティブ/デザイン職	工業/プロダクト/インテリア	プロダクトデザイナー
463fe	クリエイティブ/デザイン職	工業/プロダクト/インテリア	カラーデザイナー
333fb	クリエイティブ/デザイン職	工業/プロダクト/インテリア	パッケージデザイナー
dc1f7	クリエイティブ/デザイン職	工業/プロダクト/インテリア	モデラー
4302a	クリエイティブ/デザイン職	工業/プロダクト/インテリア	インテリアコーディネーター
1daba	クリエイティブ/デザイン職	工業/プロダクト/インテリア	インテリアデザイナー
ccc6f	クリエイティブ/デザイン職	工業/プロダクト/インテリア	UIデザイナー
6ed95	クリエイティブ/デザイン職	工業/プロダクト/インテリア	CMF
87abb	クリエイティブ/デザイン職	工業/プロダクト/インテリア	その他
24132	クリエイティブ/デザイン職	ライター/編集	ライター/編集
87be4	クリエイティブ/デザイン職	フォトグラファー	フォトグラファー
f7b8a	クリエイティブ/デザイン職	レタッチャー	レタッチャー
dc254	クリエイティブ/デザイン職	マークアップ/コーダー	マークアップ/コーダー
73a2d	クリエイティブ/デザイン職	フローリスト/フラワーデザイナー	フローリスト/フラワーデザイナー
0bd9b	クリエイティブ/デザイン職	ものづくり/職人	ものづくり/職人
1b460	クリエイティブ/デザイン職	その他	その他
b0829	建築/土木/プラント専門職	建築設計/デザイン	意匠設計
697e7	建築/土木/プラント専門職	建築設計/デザイン	構造設計
93744	建築/土木/プラント専門職	建築設計/デザイン	内装設計/インテリア
14122	建築/土木/プラント専門職	建築設計/デザイン	電気設備設計
5d7c9	建築/土木/プラント専門職	建築設計/デザイン	空調設備設計
7f49f	建築/土木/プラント専門職	建築設計/デザイン	その他
3f163	建築/土木/プラント専門職	土木設計	建設コンサルタント
7f6ec	建築/土木/プラント専門職	土木設計	構造設計
519ca	建築/土木/プラント専門職	土木設計	電気設備設計
7c4cc	建築/土木/プラント専門職	土木設計	空調設備設計
4818b	建築/土木/プラント専門職	土木設計	その他
7e447	建築/土木/プラント専門職	プラント設計/デザイン	意匠設計
2b359	建築/土木/プラント専門職	プラント設計/デザイン	構造設計
6ba98	建築/土木/プラント専門職	プラント設計/デザイン	プロセス設計
20f6c	建築/土木/プラント専門職	プラント設計/デザイン	機械設備設計
712e8	建築/土木/プラント専門職	プラント設計/デザイン	電気設備設計
d3ea8	建築/土木/プラント専門職	プラント設計/デザイン	システム設備設計
af1b3	建築/土木/プラント専門職	プラント設計/デザイン	配管設計
cc125	建築/土木/プラント専門職	プラント設計/デザイン	その他
56aed	建築/土木/プラント専門職	施工管理/現場責任者	建築施工管理
78765	建築/土木/プラント専門職	施工管理/現場責任者	土木施工管理
5d330	建築/土木/プラント専門職	施工管理/現場責任者	プラント施工管理
9576b	建築/土木/プラント専門職	施工管理/現場責任者	管工事施工管理
947d2	建築/土木/プラント専門職	施工管理/現場責任者	電気施工管理
0f9dc	建築/土木/プラント専門職	施工管理/現場責任者	空調設備施工管理
d0b87	建築/土木/プラント専門職	施工管理/現場責任者	その他
de7d6	建築/土木/プラント専門職	製図/CADオペレーター	建築
eb101	建築/土木/プラント専門職	製図/CADオペレーター	土木
99742	建築/土木/プラント専門職	製図/CADオペレーター	プラント
e1240	建築/土木/プラント専門職	BIM/CIMエンジニア	建築
08aac	建築/土木/プラント専門職	BIM/CIMエンジニア	土木
cf245	建築/土木/プラント専門職	BIM/CIMエンジニア	プラント
1c1f3	建築/土木/プラント専門職	CM/コンストラクションマネジメント	CM/コンストラクションマネジメント
750ad	建築/土木/プラント専門職	職人/現場作業員	職人/現場作業員
e8108	建築/土木/プラント専門職	設計/施工監理	設計/施工監理
1a512	建築/土木/プラント専門職	安全管理/環境保全	安全管理/環境保全
04198	建築/土木/プラント専門職	設備メンテナンス	建築
7d41e	建築/土木/プラント専門職	設備メンテナンス	土木
d3267	建築/土木/プラント専門職	設備メンテナンス	プラント
697b6	建築/土木/プラント専門職	測量/地質調査	建築
0ef92	建築/土木/プラント専門職	測量/地質調査	土木
