求人一括入稿用のコード一覧

求人一括作成機能利用時のコード一覧です。
求人一括作成機能については、複数の求人を一括入稿したいを参照ください。

目次

1. コード一覧の見かた
2. コード値一覧（職種以外）
3. コード値一覧（職種）
4. 求人の特徴ID一覧
1. コード一覧の見かた
❶項目	❷入力形式
総労働時間_時_上限（maximum_total_working_hours_hour）	半角数字
総労働時間_分_上限（maximum_total_working_hours_minute）	半角数字
実働・みなし労働時間_時（working_hours_hour）	半角数字
実働・みなし労働時間_分（working_hours_minute）	半角数字
実働・みなし労働時間_時_下限（minimum_working_hours_hour）	半角数字
実働・みなし労働時間_分_下限（minimum_working_hours_minute）	半角数字
実働・みなし労働時間_時_上限（maximum_working_hours_hour）	半角数字
実働・みなし労働時間_分_上限（maximum_working_hours_minute）	半角数字
平均勤務日数範囲CD（average_working_days_display_method）	コード値
平均勤務日数範囲（average_working_days_display_method_jp）	入力不可
平均勤務日数下限（lowest_working_days）	半角数字
平均勤務日数上限（limit_working_days）	半角数字
勤務形態・勤務時間の特徴ID（working_hours_id）	ID
勤務形態・勤務時間の特徴（working_hours_id_name）	入力不可
勤務時間・シフト・最低勤務期間の補足説明（working_time_supplement）	テキスト
休日・休暇ID（holiday_id）	ID
休日・休暇（holiday_id_name）	入力不可
休日・休暇の補足説明（holiday）	テキスト
健康保険CD（social_insurance_health）	コード値
健康保険（social_insurance_health_jp）	入力不可
厚生年金保険CD（social_insurance_wp）	コード値
厚生年金保険（social_insurance_wp_jp）	入力不可
雇用保険CD（social_insurance_ei）	コード値
雇用保険（social_insurance_ei_jp）	入力不可
労災保険CD（social_insurance_wc）	コード値
労災保険（social_insurance_wc_jp）	入力不可
適用されない社会保険とその理由（no_social_insurance_reason）	テキスト
福利厚生ID（welfare_id）	ID
福利厚生（welfare_id_name）	入力不可
福利厚生の補足説明（welfare）	テキスト
無期雇用派遣ID（contract_renewal_period_id）	ID
無期雇用派遣（contract_renewal_period_id_name）	入力不可
契約更新期間（contract_renewal_period）	テキスト
試用・研修期間の有無CD（is_probationary_period）	コード値
試用・研修期間の有無（is_probationary_period_jp）	入力不可
試用・研修期間の期間（probationary_time）	テキスト
試用・研修期間の給与条件CD（probationary_salary）	コード値
試用・研修期間の給与条件（probationary_salary_jp）	入力不可
試用・研修期間の給与形態CD（probationary_salary_form）	コード値
試用・研修期間の給与形態（probationary_salary_form_jp）	入力不可
試用・研修期間の業務単位名（probationary_units_per_job）	テキスト
試用・研修期間の業務単位あたりの時間（分）（probationary_working_hours_per_job）	半角数字
試用・研修期間の給与額範囲CD（probationary_salary_display_method）	コード値
試用・研修期間の給与額範囲（probationary_salary_display_method_jp）	入力不可
試用・研修期間の給与額下限（probationary_minimum_salary）	入力不可
試用・研修期間の給与額上限（probationary_maximum_salary）	入力不可
試用・研修期間の固定残業CD（probationary_fixed_overtime_type）	コード値
試用・研修期間の固定残業（probationary_fixed_overtime_type_jp）	入力不可
試用・研修期間の固定残業時間範囲CD（probationary_fixed_overtime_hours_display_method）	コード値
試用・研修期間の固定残業時間範囲（probationary_fixed_overtime_hours_display_method_jp）	入力不可
試用・研修期間の固定残業時間下限_時（probationary_minimum_fixed_overtime_hour）	半角数字
試用・研修期間の固定残業時間下限_分（probationary_minimum_fixed_overtime_minute）	半角数字
試用・研修期間の固定残業時間上限_時（probationary_maximum_fixed_overtime_hour）	半角数字
試用・研修期間の固定残業時間上限_分（probationary_maximum_fixed_overtime_minute）	半角数字
試用・研修期間の固定残業代範囲CD（probationary_fixed_overtime_display_method）	コード値
試用・研修期間の固定残業代範囲（probationary_fixed_overtime_display_method_jp）	入力不可
試用・研修期間の固定残業代下限（probationary_minimum_fixed_overtime_pay）	半角数字
試用・研修期間の固定残業代上限（probationary_maximum_fixed_overtime_pay）	半角数字
試用・研修期間の固定残業時間を超える残業についてCD（probationary_is_no_overtime）	コード値
試用・研修期間の固定残業時間を超える残業について（probationary_is_no_overtime_jp）	入力不可
試用・研修期間の支給しない時の理由CD（probationary_overtime_no_payment_reason）	コード値
試用・研修期間の支給しない時の理由（probationary_overtime_no_payment_reason_jp）	入力不可
試用・研修期間の法定内残業時間_時（probationary_legal_overtime_hour）	半角数字
試用・研修期間の法定内残業時間_分（probationary_legal_overtime_minute）	半角数字
試用・研修期間の通勤・皆勤・家族手当CD（probationary_commuting_allowance_type）	コード値
試用・研修期間の通勤・皆勤・家族手当（probationary_commuting_allowance_type_jp）	入力不可
試用・研修期間の通勤・皆勤・家族手当範囲CD（probationary_commuting_allowance_display_method）	コード値
